movie_cast_key,movie_id,person_id,character_name,gender_id
1,285,85,"Captain Jack Sparrow",2
2,285,114,"Will Turner",2
3,285,116,"Elizabeth Swann",1
4,285,1640,"William Bootstrap Bill Turner",2
5,285,1619,"Captain Sao Feng",2
6,285,2440,"Captain Davy Jones",2
7,285,118,"Captain Hector Barbossa",2
8,285,1709,"Admiral James Norrington",2
9,285,2449,"Joshamee Gibbs",2
10,285,2441,"Lord Cutler Beckett",2
11,285,2038,"Tia Dalma",1
12,285,378,"Governor Weatherby Swann",2
13,285,1430,"Captain Teague Sparrow",2
14,285,1710,Pintel,2
15,285,1711,Ragetti,2
16,285,4031,"Lieutenant Theodore Groves",2
17,285,1715,Cotton,2
18,285,4030,Marty,2
19,285,939,"Ian Mercer",0
20,285,2450,Scarlett,1
21,285,2452,Giselle,1
22,285,1714,Mullroy,2
23,285,1713,Murtogg,0
24,285,22075,"Tai Huang",2
25,285,61259,"Henry Turner",2
26,285,33500,"Mistress Ching",1
27,285,1224149,"Lieutenant Greitzer",2
28,285,429401,Hadras,2
29,285,1123,Clacker,0
30,285,1056117,Penrod,2
31,285,21700,"Cotton's Parrot (voice)",2
32,285,1430,"Captain Teague",2
33,285,2603,"Captain Jocard",2
34,285,70577,"Captain Ammand",0
35,559,2219,"Peter Parker / Spider-Man",2
36,559,205,"Mary Jane Watson",1
37,559,17051,"Harry Osborn / New Goblin",2
38,559,19159,"Flint Marko / Sandman",2
39,559,17052,"Eddie Brock / Venom",2
40,559,18997,"Gwen Stacey",1
41,559,18998,"May Parker",1
42,559,2505,"Captain Stacey",2
43,559,18999,"J. Jonah Jameson",2
44,559,9207,"Mrs. Marko",1
45,559,19152,"Dr. Curt Connors",2
46,559,5502,"Joseph Robertson",2
47,559,9281,"Miss Brant",1
48,559,11769,Hoffman,2
49,559,6585,"Penny Marko",1
50,559,5293,"Norman Osborn / Green Goblin",2
51,559,19153,"Ben Parker",0
52,559,2368,"Mr. Ditkovitch",2
53,559,20645,Ursula,1
54,559,20582,"Dennis Carradine / Carjacker",2
55,559,20580,"Flash Thompson",2
56,559,7624,"Man in Times Square",2
57,559,11357,"Mau00eetre d",2
58,559,19155,Pianist,2
59,559,7628,Driver,0
60,559,19154,"John Jameson",2
61,559,19326,Houseman,0
62,559,59206,"Mrs. Stacy",1
63,559,78311,Photographer,2
64,559,116627,Anchorman,0
65,559,113608,"Jennifer Dugan",1
66,559,99932,"Congratulatory Woman at Daily Bugle",1
67,559,552526,"Crane Disaster Radio Policeman",2
68,559,1226471,"Play Director",2
69,559,159456,"Play Producer",2
70,559,105701,"Jazz Club Manager",2
71,559,66653,"Precinct Detective",2
72,559,1451076,"Emergency Room Doctor",2
73,559,11766,"Crane Operator",0
74,559,1781288,"Woman Outside Theater",1
75,559,1739821,"Police Detective",0
76,559,1735986,"New Jersey State Policeman",0
77,559,1781297,"New Jersey State Policeman",0
78,559,1435965,"Test Site Technician",1
79,559,1781298,"Test Site Technician",0
80,559,233298,"Test Site Technician",2
81,559,60490,"Test Site Technician",2
82,559,175606,"Test Site Technician",0
83,559,1656631,"Test Site Technician",1
84,559,173163,"ICU Nurse",0
85,559,1781299,"Cop at Crane Disaster",0
86,559,1781300,"Mary Jane's Replacement",1
87,559,1781301,"Boy at Key to the City Ceremony",0
88,559,1781302,Councilwoman,1
89,559,53257,"Policeman at Sand Truck",2
90,559,92486,"Policeman at Sand Truck",0
91,559,52946,"Armored Car Driver",2
92,559,1781303,"Newstand Patron",0
93,559,98396,"Newstand Patron",0
94,559,558055,"Newstand Patron",1
95,559,1781304,"Coffee Shop Waitress",1
96,559,1781307,"Jazz Club Waitress",1
97,559,193946,"Jazz Club Bouncer",2
98,559,1446719,"Photoshoot Client",0
99,559,1781308,"Businessman (uncredited)",0
100,559,1781309,"Theater Attendee (uncredited)",0
101,559,1781310,"Pedestrian (uncredited)",0
102,559,1781311,"I.C.U Nurse (uncredited)",1
103,559,1653331,"NYPD Officer (uncredited)",2
104,559,1781312,"Model (uncredited)",1
105,559,111243,"Bucket Boy (uncredited)",2
106,559,1781313,"News Reporter (uncredited)",1
107,559,1781194,"Photographer (uncredited)",0
108,559,1781318,"Rescued Girl (uncredited)",1
109,559,454223,"Photographer (uncredited)",0
110,559,232042,"Jazz Club Waitress (uncredited)",1
111,559,1496942,"Theater Patron (uncredited)",0
112,559,1209717,"Jazz Club Girl (uncredited)",1
113,559,1781325,"Columbia Grad Student (uncredited)",1
114,559,1509622,"New York City Commuter / Driver (uncredited)",2
115,559,1610271,"Girl at Key Ceremony (uncredited)",1
116,559,1781326,"Pedestrian (uncredited)",0
117,559,1781199,"A Spidey Kid (uncredited)",1
118,559,1781205,"A Spidey Kid (uncredited)",1
119,559,1781217,"A Spidey Kid (uncredited)",1
120,559,1781327,"Businessman (uncredited)",0
121,559,1636759,"Automobile Driver (uncredited)",0
122,559,1781328,"Spectator (uncredited)",0
123,559,1781329,"News Spectator (uncredited)",0
124,559,1781330,"Funeral Limo Driver (uncredited)",0
125,559,1639432,"News Reporter (uncredited)",0
126,559,1781331,"Cop (uncredited)",0
127,559,1781332,"Female New Yorker (uncredited)",1
128,559,1316667,"Jazz Club Bouncer (uncredited)",0
129,559,105632,"Girl at Key Ceremony (uncredited)",1
130,559,1781333,"Student (uncredited)",0
131,559,1292243,"ER Nurse (uncredited)",1
132,559,1781334,"Dog Walker (uncredited)",1
133,559,1752230,"Observer (uncredited)",0
134,559,1781221,"Businesswoman (uncredited)",1
135,559,570374,"Woman in Court (uncredited)",1
136,559,1246221,"British Publicist (uncredited)",1
137,559,1781344,"Shocked Pedestrian (uncredited)",1
138,559,1781345,"Journalist (uncredited)",1
139,559,1781346,"Girl Screaming in Camaro (uncredited)",1
140,559,1781347,"Kid in Times Square (uncredited)",0
141,559,163930,"Oscorp Receptionist (uncredited)",1
142,559,1781348,"Girl in Times Square (uncredited)",1
143,559,1697017,"Robbie's Assistant (uncredited)",1
144,559,1781349,"Theatergoer (uncredited)",0
145,559,1480150,"Businessman (uncredited)",0
146,559,1178562,"Beautiful Girl (uncredited)",1
147,559,1344665,"Beautiful Woman (uncredited)",1
148,559,118389,"Police Officer (uncredited)",0
149,559,1781350,"Beautiful Woman (uncredited)",1
150,559,1781351,"Beautiful Woman (uncredited)",0
151,559,60127,"Businesswoman (uncredited)",1
152,559,1781352,"Pedestrian (uncredited)",0
153,559,1422991,"Sandman Victim (uncredited)",1
154,559,106147,"Bad Girl (uncredited)",1
155,559,1691382,"City Hall Cheerer (uncredited)",0
156,559,1781353,"Guy with Ticket (uncredited)",0
157,559,1367833,"Jazz Club Beatnik (uncredited)",0
158,559,1781354,"Jazz Club Guest (uncredited)",0
159,559,1781355,"Cafu00e9 Girl (uncredited)",1
160,559,1781356,"Jazz Club Patron (uncredited)",1
161,559,1340943,"Jazz Club Waitress (uncredited)",1
162,559,211964,"Firefighter (uncredited)",0
163,559,1781358,"Police Officer (uncredited)",0
164,559,1778304,"Broadway Audience Member (uncredited)",0
165,559,1781359,"Jazz Club Musician (uncredited)",0
166,559,1781360,"Girl in Cab (uncredited)",1
167,559,1454306,"Model (uncredited)",1
168,559,1781361,"Hot Girl (uncredited)",0
169,559,1781362,"Beautiful Woman (uncredited)",1
170,559,1781365,"Bar Patron #5 (uncredited)",0
171,559,1614425,"Model (uncredited)",1
172,559,567242,"Model (uncredited)",0
173,559,1781366,"Student (uncredited)",0
